id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06008510114460000,RP,Residential Property,11 W LEISURE DR,YELLOWSTONE HOLIDAY 1,10/13/2020 11:34:46 AM,206.002.A,00,0.41,1994,11 - Log,7 - Electric Baseboard/Electric Radiant,1164,1,2,0
06008510114480000,RP,Residential Property,5 E LEISURE DR,YELLOWSTONE HOLIDAY 1,10/13/2020 11:24:13 AM,206.002.A,00,0.41,1990,04 - Modern,7 - Electric Baseboard/Electric Radiant,1604,3,2,1
06008510114500000,RP,Residential Property,21 E LEISURE DR,YELLOWSTONE HOLIDAY 1,10/13/2020 11:31:32 AM,206.002.A,00,0.39,1985,01 - Bi-Level,7 - Electric Baseboard/Electric Radiant,2120,3,2,0
06008510114520000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:37:58 AM,206.002.A,00,0.39,,,,,,,
06008510114540000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:26:47 AM,206.002.A,00,0.42,,,,,,,
06008510114560000,RP,Residential Property,30 E LEISURE DR,YELLOWSTONE HOLIDAY 1,10/13/2020 11:36:19 AM,206.002.A,00,0.43,1995,08 - Conventional,7 - Electric Baseboard/Electric Radiant,1196,3,2,0
06008510114580000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:40:16 AM,206.002.A,00,0.41,,,,,,,
06008510114620000,RP,Residential Property,127 HACKERT LN,YELLOWSTONE HOLIDAY 1,10/13/2020 11:25:56 AM,206.002.A,00,0.54,2014,11 - Log,5 - Forced Air,2016,4,3,0
06008510114640000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:28:09 AM,206.002.A,00,0.4,,,,,,,
06008510114650000,RP,Residential Property,8305 HACKERT DR,YELLOWSTONE HOLIDAY 1,10/13/2020 1:01:49 PM,206.002.A,00,1.09,1996,11 - Log,7 - Electric Baseboard/Electric Radiant,3160,3,3,1
06008510114660000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:24:51 AM,206.002.A,00,0.5,,,,,,,
06008510114670000,RP,Residential Property,55 BEACH DR,YELLOWSTONE HOLIDAY 1,10/13/2020 1:01:49 PM,206.002.A,00,0.5,1967,08 - Conventional,7 - Electric Baseboard/Electric Radiant,1144,2,1,0
06008510114680000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:25:38 AM,206.002.A,00,0.5,,,,,,,
06008510114700000,RP,Residential Property,,YELLOWSTONE HOLIDAY 1,10/13/2020 11:23:52 AM,206.002.A,00,0.48,,,,,,,
06008510114720000,RP,Residential Property,40 SUNSHINE WAY,YELLOWSTONE HOLIDAY 1,10/13/2020 11:33:12 AM,206.002.A,00,0.4,2011,11 - Log,7 - Electric Baseboard/Electric Radiant,3790,4,3,1
